NOMBRE,cuerpo
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Haiti [+]164º2011,11%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Hungría [+]73º43-2,27%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Indonesia [+]96º382,70%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Irlanda [+]13º742,78%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Israel [+]36º59-1,67%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,India [+]85º400
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Irak [+]157º239,52%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Irán [+]150º250
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Islandia [+]13º74-1,33%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Jamaica [+]70º440
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Jordania [+]58º490
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Kenia [+]128º30-3,23%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Kirguistán [+]144º27-12,90%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Camboya [+]157º239,52%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Comoras [+]164º20-4,76%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Corea del Norte [+]174º16-11,11%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Corea del Sur [+]32º621,64%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Kuwait [+]73º432,38%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Kazajistán [+]102º37-2,63%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Laos [+]128º303,45%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Líbano [+]154º24-4,00%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Santa Lucía [+]42º560
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Sri Lanka [+]102º37-2,63%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Liberia [+]136º293,57%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Lesoto [+]96º38-7,32%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Lituania [+]34º611,67%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Luxemburgo [+]9º811,25%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Letonia [+]36º593,51%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Libia [+]172º170
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Marruecos [+]87º39-2,50%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Moldavia [+]105º365,88%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Montenegro [+]64º462,22%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Madagascar [+]147º264,00%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Macedonia del Norte [+]87º3911,43%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Malí [+]136º29-3,33%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Birmania - Myanmar [+]140º280
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Mongolia [+]110º350
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Mauritania [+]140º28-3,45%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Malta [+]49º541,89%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Mauricio [+]49º541,89%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Maldivas [+]85º40-6,98%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Malaui [+]110º3516,67%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,México [+]124º310
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Malasia [+]62º48-5,88%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Mozambique [+]147º264,00%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Namibia [+]58º49-3,92%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Níger [+]124º31-3,13%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Nigeria [+]154º24-4,00%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Nicaragua [+]164º20-9,09%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Países Bajos [+]8º820
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Noruega [+]4º851,19%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Nepal [+]117º330
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Nueva Zelanda [+]1º880
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Omán [+]56º52-3,70%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Panamá [+]105º362,86%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Perú [+]105º36-5,26%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Papúa Nueva Guinea [+]124º3114,81%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Filipinas [+]117º33-2,94%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Pakistán [+]140º28-9,68%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Polonia [+]42º560
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Paraguay [+]128º307,14%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Catar [+]31º630
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Rumanía [+]66º452,27%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Serbia [+]96º380
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Rusia [+]136º29-3,33%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Ruanda [+]52º53-1,85%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Arabia Saudita [+]52º530
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Islas Salomón [+]73º432,38%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Seychelles [+]23º706,06%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Sudán [+]164º2025,00%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Suecia [+]4º850
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Singapur [+]4º850
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Eslovenia [+]41º57-5,00%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Eslovaquia [+]56º526,12%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Sierra Leona [+]115º343,03%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Senegal [+]73º43-4,44%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Somalia [+]178º138,33%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Surinam [+]87º392,63%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Sudán del Sur [+]180º11-8,33%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Santo Tomé y Príncipe [+]66º45-4,26%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"El Salvador [+]115º34-5,56%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Siria [+]178º13-7,14%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Suazilandia [+]122º32-3,03%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Chad [+]164º20-4,76%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Togo [+]128º303,45%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Tailandia [+]110º35-2,78%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Tayikistán [+]150º250
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Timor Oriental [+]82º412,50%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Turkmenistán [+]169º190
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Túnez [+]70º440
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Turquía [+]96º38-5,00%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Trinidad y Tobago [+]82º412,50%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Taiwan [+]25º684,62%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Tanzania [+]87º392,63%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Ucrania [+]122º32-3,03%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Uganda [+]144º270
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Uruguay [+]18º732,82%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Uzbekistán [+]140º287,69%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,San Vicente y las Granadinas [+]36º590
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Venezuela [+]177º14-6,67%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Vietnam [+]87º398,33%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Vanuatu [+]66º454,65%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Yemen [+]174º166,67%"
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Sudáfrica [+]70º440
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,Zambia [+]117º330
PaísesRanking de la CorrupciónÍndice de CorrupciónVar.,"Zimbabue [+]157º23-4,17%"
